Price,Close,High,Low,Open,Volume,MA50,MA200
Ticker,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,,
Date,,,,,,,
2022-11-21,1159.1180419921875,1175.9760614312995,1155.5737233322704,1175.9760614312995,6390268,1133.9998559570313,1144.1461795043945
2022-11-22,1165.547607421875,1167.1152613187112,1152.5746494360667,1156.4369938334312,6611488,1133.8149194335938,1144.5692483520509
2022-11-23,1161.9124755859375,1171.3866679891707,1159.7313656787815,1170.0688915510787,6413408,1133.7035913085938,1144.9920309448241
2022-11-24,1171.9320068359375,1178.7024981272687,1157.8911489931052,1165.9794167577484,9389439,1133.531376953125,1145.453928527832
2022-11-25,1189.4261474609375,1192.7431844497548,1173.295044904841,1176.430472976704,7349922,1133.5118383789063,1146.0730465698243
2022-11-28,1230.299072265625,1236.4333911015242,1136.8980043426527,1185.472920181286,31527484,1134.5951220703125,1146.9451040649415
2022-11-29,1232.4119873046875,1241.2500078770877,1224.1419904117938,1228.6632233258865,11058913,1135.9537646484375,1147.8598831176757
2022-11-30,1241.11376953125,1247.5208029020678,1226.050564487551,1232.5484624207777,26164986,1138.0635302734374,1148.7299661254883
2022-12-01,1237.455810546875,1251.8601266305577,1234.1387734132652,1245.862104269674,9485801,1140.070595703125,1149.5195962524415
2022-12-02,1236.93310546875,1248.6792715763747,1227.1408877532265,1240.5001400003844,11589592,1142.06357421875,1150.3121603393554
2022-12-05,1218.8935546875,1234.4793482971581,1216.8715781623773,1232.3209547622266,14828536,1143.6330517578126,1151.0250564575194
2022-12-06,1222.415283203125,1225.5051588426245,1209.146894711336,1211.0099786652759,8594245,1145.4878955078125,1151.841276550293
2022-12-07,1204.3758544921875,1224.5964643493226,1200.5816581384124,1220.052515180835,8462111,1147.4054467773437,1152.3874917602539
2022-12-08,1203.8077392578125,1210.9645247591304,1199.6500849785011,1208.6925503476532,7757008,1149.8764501953126,1152.9421890258789
2022-12-09,1185.563720703125,1208.6924740397408,1182.2692798901842,1202.330873974504,12655763,1151.8108129882812,1153.3364834594727
2022-12-12,1187.38134765625,1191.8798642806923,1174.6128344148897,1174.8401159938364,9479842,1154.3613354492188,1153.7831192016602
2022-12-13,1192.7886962890625,1196.4237590933476,1184.473147579326,1187.381293975718,8333348,1157.0849829101562,1154.3122744750976
2022-12-14,1188.4718017578125,1199.1273520766265,1186.4269889714612,1198.5366123572992,7268947,1159.2456323242188,1154.8445291137696
2022-12-15,1171.591064453125,1188.244637773301,1168.2513114103942,1182.564761948623,8688551,1161.143642578125,1155.3262356567384
2022-12-16,1165.7974853515625,1189.9714223850988,1162.412300039899,1168.2513090093973,15837349,1162.528642578125,1156.0468753051757
2022-12-19,1181.110595703125,1183.246273075343,1166.2972711057284,1172.7951677670053,7729933,1164.1390209960937,1156.7802182006835
2022-12-20,1191.3345947265625,1193.242990634255,1165.9792991040035,1174.1129983269077,7467588,1165.8607250976563,1157.393479309082
2022-12-21,1174.3857421875,1196.423883640869,1170.5688296926967,1190.9711686756098,8527550,1167.4847338867187,1157.8336758422852
