,open,high,low,close,adjclose,volume,ticker
2003-01-24,66.75,67.30000305175781,66.5999984741211,66.92500305175781,46.4229736328125,92560.0,COLPAL.NS
2003-01-27,67.25,67.25,65.125,66.875,46.38829040527344,144076.0,COLPAL.NS
2003-01-28,68.0,68.44999694824219,66.2750015258789,68.07499694824219,47.22067642211914,108104.0,COLPAL.NS
2003-01-29,67.5,68.25,67.125,67.42500305175781,46.76980209350586,53626.0,COLPAL.NS
2003-01-30,68.125,68.125,66.80000305175781,67.2750015258789,46.6657600402832,87048.0,COLPAL.NS
2003-01-31,67.0,68.375,66.625,67.44999694824219,46.78713607788086,102272.0,COLPAL.NS
2003-02-03,67.2249984741211,67.4000015258789,66.8499984741211,67.19999694824219,46.613739013671875,32606.0,COLPAL.NS
2003-02-04,68.5,68.5,66.75,66.9000015258789,46.405643463134766,78212.0,COLPAL.NS
2003-02-05,67.4000015258789,67.5,66.05000305175781,66.3499984741211,46.02412796020508,36896.0,COLPAL.NS
2003-02-06,66.5,66.75,66.0250015258789,66.2750015258789,45.97210693359375,17120.0,COLPAL.NS
2003-02-07,66.0,66.30000305175781,65.5,65.625,45.52122497558594,64164.0,COLPAL.NS
2003-02-10,65.5,65.5,64.0,64.5,44.74085998535156,79620.0,COLPAL.NS
2003-02-11,64.75,64.94999694824219,63.599998474121094,64.1500015258789,44.498085021972656,47186.0,COLPAL.NS
2003-02-12,64.92500305175781,64.92500305175781,64.0,64.375,44.654151916503906,63684.0,COLPAL.NS
2003-02-13,64.375,64.375,64.375,64.375,44.654151916503906,0.0,COLPAL.NS
2003-02-14,63.875,64.42500305175781,63.54999923706055,63.82500076293945,44.272647857666016,55936.0,COLPAL.NS
2003-02-17,65.625,65.625,62.79999923706055,63.150001525878906,43.8044319152832,142754.0,COLPAL.NS
2003-02-18,63.5,64.0,63.349998474121094,63.474998474121094,44.02986145019531,49014.0,COLPAL.NS
2003-02-19,63.349998474121094,64.75,63.29999923706055,64.375,44.654151916503906,60700.0,COLPAL.NS
2003-02-20,64.5,65.75,64.0250015258789,65.375,45.347816467285156,117446.0,COLPAL.NS
2003-02-21,65.2750015258789,66.0,65.125,65.80000305175781,45.642608642578125,40404.0,COLPAL.NS
2003-02-24,66.3499984741211,66.3499984741211,65.2750015258789,65.9749984741211,45.764007568359375,34654.0,COLPAL.NS
2003-02-25,65.94999694824219,65.94999694824219,65.07499694824219,65.69999694824219,45.5732421875,29438.0,COLPAL.NS
2003-02-26,66.5,66.5,64.55000305175781,65.0,45.087703704833984,41902.0,COLPAL.NS
2003-02-27,64.625,65.92500305175781,64.625,65.625,45.52122497558594,73180.0,COLPAL.NS
2003-02-28,66.5,67.57499694824219,66.0,66.25,45.95475769042969,125044.0,COLPAL.NS
2003-03-03,66.0,66.0,64.875,65.0250015258789,45.10503387451172,66594.0,COLPAL.NS
2003-03-04,64.2750015258789,66.25,64.2750015258789,64.80000305175781,44.94895935058594,30944.0,COLPAL.NS
2003-03-05,65.8499984741211,65.8499984741211,63.75,64.5,44.74085998535156,60394.0,COLPAL.NS
2003-03-06,65.375,65.375,63.79999923706055,64.19999694824219,44.53275680541992,33384.0,COLPAL.NS
2003-03-07,63.75,64.5,63.25,64.1500015258789,44.498085021972656,101102.0,COLPAL.NS
2003-03-10,64.75,65.0,63.07500076293945,63.400001525878906,43.97784423828125,55826.0,COLPAL.NS
2003-03-11,63.92499923706055,64.0,63.0,63.724998474121094,44.20326614379883,43872.0,COLPAL.NS
2003-03-12,63.5,64.125,63.25,63.82500076293945,44.272647857666016,52520.0,COLPAL.NS
2003-03-13,63.625,64.1500015258789,63.375,64.07499694824219,44.446048736572266,32202.0,COLPAL.NS
2003-03-14,64.07499694824219,64.07499694824219,64.07499694824219,64.07499694824219,44.446048736572266,0.0,COLPAL.NS
2003-03-17,64.0,64.1500015258789,63.07500076293945,63.25,43.8737907409668,68512.0,COLPAL.NS
2003-03-18,63.25,63.25,63.25,63.25,43.8737907409668,0.0,COLPAL.NS
2003-03-19,63.900001525878906,63.900001525878906,62.5,62.79999923706055,43.5616569519043,35182.0,COLPAL.NS
2003-03-20,60.07500076293945,63.5,60.07500076293945,62.349998474121094,43.24950408935547,41606.0,COLPAL.NS
2003-03-21,61.57500076293945,62.849998474121094,61.525001525878906,61.75,42.83330154418945,58646.0,COLPAL.NS
2003-03-24,62.0,62.0,61.349998474121094,61.474998474121094,42.64254379272461,53096.0,COLPAL.NS
2003-03-25,61.25,61.25,60.099998474121094,60.375,41.879520416259766,58946.0,COLPAL.NS
2003-03-26,60.04999923706055,60.75,59.0,60.150001525878906,41.72346496582031,48952.0,COLPAL.NS
2003-03-27,60.75,60.75,60.0,60.42499923706055,41.914207458496094,100202.0,COLPAL.NS
2003-03-28,60.900001525878906,61.25,60.25,61.099998474121094,42.382423400878906,30878.0,COLPAL.NS
2003-03-31,60.775001525878906,63.5,60.45000076293945,60.875,42.226356506347656,52942.0,COLPAL.NS
2003-04-01,62.45000076293945,62.45000076293945,60.275001525878906,60.349998474121094,41.862186431884766,30770.0,COLPAL.NS
2003-04-02,60.29999923706055,61.42499923706055,60.29999923706055,60.42499923706055,41.914207458496094,10548.0,COLPAL.NS
2003-04-03,60.67499923706055,62.0,60.150001525878906,60.375,41.879520416259766,24430.0,COLPAL.NS
2003-04-04,60.75,61.0,60.150001525878906,60.67499923706055,42.08762741088867,46912.0,COLPAL.NS
2003-04-07,60.54999923706055,61.75,60.525001525878906,61.400001525878906,42.590511322021484,36396.0,COLPAL.NS
2003-04-08,61.25,61.67499923706055,60.75,61.5,42.65989685058594,44686.0,COLPAL.NS
2003-04-09,61.099998474121094,61.224998474121094,60.525001525878906,60.57500076293945,42.01826095581055,22170.0,COLPAL.NS
2003-04-10,60.974998474121094,64.0,60.57500076293945,61.5,42.65989685058594,132132.0,COLPAL.NS
2003-04-11,62.82500076293945,62.82500076293945,61.025001525878906,62.099998474121094,43.07608413696289,79980.0,COLPAL.NS
2003-04-14,62.099998474121094,62.099998474121094,62.099998474121094,62.099998474121094,43.07608413696289,0.0,COLPAL.NS
2003-04-15,62.900001525878906,62.900001525878906,61.54999923706055,62.525001525878906,43.370887756347656,80106.0,COLPAL.NS
2003-04-16,62.474998474121094,62.474998474121094,61.25,61.42499923706055,42.607872009277344,116460.0,COLPAL.NS
2003-04-17,61.974998474121094,62.92499923706055,61.29999923706055,62.349998474121094,43.24950408935547,53988.0,COLPAL.NS
2003-04-18,62.349998474121094,62.349998474121094,62.349998474121094,62.349998474121094,43.24950408935547,0.0,COLPAL.NS
2003-04-21,62.025001525878906,62.625,61.775001525878906,62.474998474121094,43.336212158203125,52392.0,COLPAL.NS
2003-04-22,63.0,64.875,62.099998474121094,63.875,44.30732727050781,112048.0,COLPAL.NS
2003-04-23,64.0,64.75,63.349998474121094,63.650001525878906,44.151248931884766,88502.0,COLPAL.NS
2003-04-24,62.5,64.17500305175781,62.5,63.849998474121094,44.28998947143555,124016.0,COLPAL.NS
2003-04-25,62.775001525878906,64.5,62.775001525878906,64.30000305175781,44.60212707519531,99510.0,COLPAL.NS
2003-04-28,65.0,65.69999694824219,64.0250015258789,64.57499694824219,44.792884826660156,61284.0,COLPAL.NS
2003-04-29,65.1500015258789,65.42500305175781,64.0250015258789,65.0999984741211,45.15705490112305,62576.0,COLPAL.NS
2003-04-30,64.0,65.0,64.0,64.875,45.000980377197266,54548.0,COLPAL.NS
2003-05-01,64.875,64.875,64.875,64.875,45.000980377197266,0.0,COLPAL.NS
2003-05-02,64.5,65.625,63.775001525878906,64.8499984741211,44.98363494873047,89748.0,COLPAL.NS
2003-05-05,66.0,75.0,64.55000305175781,66.2750015258789,45.97210693359375,124202.0,COLPAL.NS
2003-05-06,65.0,67.0,65.0,66.125,45.86805725097656,78538.0,COLPAL.NS
2003-05-07,65.57499694824219,66.5250015258789,65.05000305175781,66.3499984741211,46.02412796020508,101502.0,COLPAL.NS
2003-05-08,66.2249984741211,66.2249984741211,65.0250015258789,65.125,45.17439651489258,72834.0,COLPAL.NS
2003-05-09,64.5,65.9000015258789,64.5,64.8499984741211,44.98363494873047,112030.0,COLPAL.NS
2003-05-12,62.599998474121094,66.0,62.599998474121094,65.6500015258789,45.53857421875,89400.0,COLPAL.NS
2003-05-13,64.75,65.94999694824219,64.75,65.6500015258789,45.53857421875,97818.0,COLPAL.NS
2003-05-14,65.9749984741211,65.9749984741211,65.5,65.7750015258789,45.62527847290039,66772.0,COLPAL.NS
2003-05-15,64.0,66.94999694824219,64.0,66.67500305175781,46.249576568603516,115802.0,COLPAL.NS
2003-05-16,67.0,67.375,66.0,66.19999694824219,45.92007827758789,163618.0,COLPAL.NS
2003-05-19,66.1500015258789,66.5,63.125,65.3499984741211,45.33047103881836,282488.0,COLPAL.NS
2003-05-20,66.25,66.4000015258789,65.3499984741211,66.125,45.86805725097656,137022.0,COLPAL.NS
2003-05-21,66.375,66.875,65.6500015258789,66.2750015258789,45.97210693359375,76944.0,COLPAL.NS
2003-05-22,65.5250015258789,66.9749984741211,65.5250015258789,66.2750015258789,45.97210693359375,38172.0,COLPAL.NS
2003-05-23,67.44999694824219,67.44999694824219,65.6500015258789,66.55000305175781,46.162864685058594,116026.0,COLPAL.NS
2003-05-26,67.5,67.5,66.57499694824219,67.125,46.56169891357422,83566.0,COLPAL.NS
2003-05-27,67.0250015258789,68.0,66.0999984741211,66.375,46.041481018066406,61606.0,COLPAL.NS
2003-05-28,66.3499984741211,66.92500305175781,66.2750015258789,66.4749984741211,46.11083221435547,51426.0,COLPAL.NS
2003-05-29,66.5,66.8499984741211,66.2249984741211,66.67500305175781,46.249576568603516,133250.0,COLPAL.NS
2003-05-30,66.07499694824219,66.75,66.07499694824219,66.25,45.95475769042969,166228.0,COLPAL.NS
2003-06-02,66.55000305175781,66.9000015258789,66.1500015258789,66.5250015258789,46.14552307128906,100020.0,COLPAL.NS
2003-06-03,66.0,66.625,66.0,66.42500305175781,46.07615280151367,106822.0,COLPAL.NS
2003-06-04,67.44999694824219,67.44999694824219,66.07499694824219,66.25,45.95475769042969,181840.0,COLPAL.NS
2003-06-05,66.4749984741211,67.5,66.375,67.0999984741211,46.544368743896484,108232.0,COLPAL.NS
2003-06-06,68.0,77.0,68.0,73.94999694824219,51.2959098815918,1555892.0,COLPAL.NS
2003-06-09,75.0,76.17500305175781,74.0,75.0250015258789,52.0416259765625,513844.0,COLPAL.NS
2003-06-10,74.05000305175781,74.875,70.3499984741211,71.07499694824219,49.301666259765625,534606.0,COLPAL.NS
2003-06-11,71.42500305175781,71.42500305175781,68.4000015258789,68.69999694824219,47.65421676635742,330820.0,COLPAL.NS
2003-06-12,69.0,69.7249984741211,67.67500305175781,67.94999694824219,47.133968353271484,219388.0,COLPAL.NS
2003-06-13,68.42500305175781,69.0,67.55000305175781,67.875,47.08195495605469,136606.0,COLPAL.NS
2003-06-16,68.2750015258789,68.94999694824219,67.75,68.0999984741211,47.2380256652832,105196.0,COLPAL.NS
2003-06-17,68.0250015258789,68.5,67.5,67.67500305175781,46.943214416503906,112846.0,COLPAL.NS
2003-06-18,68.25,71.82499694824219,68.19999694824219,69.80000305175781,48.417236328125,388110.0,COLPAL.NS
2003-06-19,70.4749984741211,74.44999694824219,69.94999694824219,70.9749984741211,49.23228454589844,526212.0,COLPAL.NS
2003-06-20,71.375,71.5,70.32499694824219,70.75,49.07622528076172,180554.0,COLPAL.NS
2003-06-23,71.5,71.5,69.0,69.2249984741211,48.01838684082031,134444.0,COLPAL.NS
2003-06-24,69.25,70.5,69.0,70.0,48.55596923828125,89260.0,COLPAL.NS
2003-06-25,70.5,70.9000015258789,69.2750015258789,69.4749984741211,48.19179153442383,101218.0,COLPAL.NS
2003-06-26,69.9000015258789,70.19999694824219,68.80000305175781,69.2750015258789,48.053070068359375,161430.0,COLPAL.NS
2003-06-27,69.5,69.9000015258789,68.9749984741211,69.2249984741211,48.01838684082031,109830.0,COLPAL.NS
2003-06-30,69.5,69.94999694824219,68.67500305175781,68.82499694824219,47.74092102050781,127298.0,COLPAL.NS
2003-07-01,68.82499694824219,69.3499984741211,68.25,68.42500305175781,47.46346664428711,104872.0,COLPAL.NS
2003-07-02,69.0,71.0,68.5,69.2249984741211,48.01838684082031,263608.0,COLPAL.NS
2003-07-03,70.25,70.94999694824219,69.05000305175781,69.25,48.03573989868164,280036.0,COLPAL.NS
2003-07-04,69.30000305175781,70.1500015258789,68.80000305175781,68.94999694824219,47.82763671875,169278.0,COLPAL.NS
2003-07-07,69.19999694824219,69.875,69.19999694824219,69.3499984741211,48.105106353759766,127602.0,COLPAL.NS
2003-07-08,69.5,69.8499984741211,68.7750015258789,69.0,47.86231231689453,104034.0,COLPAL.NS
2003-07-09,68.5250015258789,69.25,67.5,67.69999694824219,46.960567474365234,161952.0,COLPAL.NS
2003-07-10,67.5,70.0,67.5,67.9749984741211,47.15130615234375,106498.0,COLPAL.NS
2003-07-11,68.19999694824219,72.32499694824219,67.7750015258789,71.57499694824219,49.64847183227539,964788.0,COLPAL.NS
2003-07-14,72.5,74.5,71.7750015258789,72.0999984741211,50.01264572143555,541936.0,COLPAL.NS
2003-07-15,72.5,75.5,70.07499694824219,74.82499694824219,51.902870178222656,1328832.0,COLPAL.NS
2003-07-16,75.94999694824219,76.5,73.57499694824219,75.0,52.024269104003906,760674.0,COLPAL.NS
2003-07-17,75.0,75.9000015258789,71.625,72.0250015258789,49.96064758300781,314304.0,COLPAL.NS
2003-07-18,74.0,75.4749984741211,71.75,74.82499694824219,51.902870178222656,700976.0,COLPAL.NS
2003-07-21,76.0,77.42500305175781,73.55000305175781,74.19999694824219,51.469329833984375,676038.0,COLPAL.NS
2003-07-22,74.05000305175781,74.94999694824219,71.80000305175781,72.2249984741211,50.099361419677734,320870.0,COLPAL.NS
2003-07-23,72.80000305175781,73.82499694824219,71.6500015258789,72.19999694824219,50.08201599121094,162532.0,COLPAL.NS
2003-07-24,72.69999694824219,74.9749984741211,71.9000015258789,74.17500305175781,51.45197296142578,335666.0,COLPAL.NS
2003-07-25,74.0,74.0,72.75,73.0250015258789,50.654293060302734,117838.0,COLPAL.NS
2003-07-28,73.9000015258789,74.75,72.25,72.57499694824219,50.34213638305664,160318.0,COLPAL.NS
2003-07-29,72.5250015258789,73.4000015258789,71.5,73.0,50.6369514465332,123810.0,COLPAL.NS
2003-07-30,73.0,73.9000015258789,71.55000305175781,72.1500015258789,50.047325134277344,152306.0,COLPAL.NS
2003-07-31,72.4000015258789,73.75,72.05000305175781,73.19999694824219,50.77567672729492,199366.0,COLPAL.NS
2003-08-01,73.0250015258789,73.8499984741211,72.5,72.92500305175781,50.58491516113281,130742.0,COLPAL.NS
2003-08-04,73.42500305175781,74.67500305175781,72.5,74.3499984741211,51.5733757019043,237660.0,COLPAL.NS
2003-08-05,75.125,76.25,73.30000305175781,74.8499984741211,51.92021942138672,507502.0,COLPAL.NS
2003-08-06,75.69999694824219,76.0,73.5,73.875,51.243900299072266,450046.0,COLPAL.NS
2003-08-07,74.25,75.0,73.75,74.5,51.67742919921875,288434.0,COLPAL.NS
2003-08-08,74.05000305175781,75.25,73.75,74.125,51.417301177978516,166330.0,COLPAL.NS
2003-08-11,74.5,75.75,74.25,74.4749984741211,51.660091400146484,247858.0,COLPAL.NS
2003-08-12,74.9749984741211,75.69999694824219,73.55000305175781,74.17500305175781,51.45197296142578,399376.0,COLPAL.NS
2003-08-13,74.69999694824219,74.75,73.25,73.5,50.9837646484375,222028.0,COLPAL.NS
2003-08-14,73.9000015258789,74.9000015258789,73.0999984741211,73.57499694824219,51.03579330444336,269942.0,COLPAL.NS
2003-08-15,73.57499694824219,73.57499694824219,73.57499694824219,73.57499694824219,51.03579330444336,0.0,COLPAL.NS
2003-08-18,74.5,80.92500305175781,74.0,77.6500015258789,53.86244583129883,1265288.0,COLPAL.NS
2003-08-19,78.19999694824219,79.8499984741211,75.0,75.9000015258789,52.64854431152344,775304.0,COLPAL.NS
2003-08-20,77.0,77.7249984741211,76.0,76.32499694824219,52.9433479309082,303100.0,COLPAL.NS
2003-08-21,76.8499984741211,76.92500305175781,75.0999984741211,75.3499984741211,52.26704406738281,249886.0,COLPAL.NS
2003-08-22,75.8499984741211,76.44999694824219,74.17500305175781,74.69999694824219,51.81615447998047,303116.0,COLPAL.NS
2003-08-25,75.3499984741211,76.5,72.55000305175781,72.94999694824219,50.60226058959961,334420.0,COLPAL.NS
2003-08-26,73.8499984741211,74.875,73.80000305175781,74.55000305175781,51.71210861206055,152050.0,COLPAL.NS
2003-08-27,75.17500305175781,75.9000015258789,74.375,74.57499694824219,51.729454040527344,211878.0,COLPAL.NS
2003-08-28,74.5,74.9749984741211,73.05000305175781,73.625,51.070472717285156,275026.0,COLPAL.NS
2003-08-29,74.0,74.9000015258789,72.80000305175781,73.2750015258789,50.82770538330078,204906.0,COLPAL.NS
2003-09-01,73.94999694824219,74.6500015258789,73.5,73.67500305175781,51.10515213012695,154522.0,COLPAL.NS
2003-09-02,74.2249984741211,76.75,74.05000305175781,74.75,51.8508415222168,454314.0,COLPAL.NS
2003-09-03,75.44999694824219,75.44999694824219,73.05000305175781,73.2750015258789,50.82770538330078,251432.0,COLPAL.NS
2003-09-04,75.0,75.0,73.25,73.42500305175781,50.9317512512207,166380.0,COLPAL.NS
2003-09-05,74.19999694824219,74.19999694824219,73.0250015258789,73.1500015258789,50.74100112915039,160776.0,COLPAL.NS
2003-09-08,74.125,74.5,73.3499984741211,73.6500015258789,51.08781433105469,236448.0,COLPAL.NS
